"X1";"Score";"text";"data"
"135";135;"1";"Oferece a metade do salário do Mano Menezes pro Fernando Diniz e ele vem correndo <U+0001F499><U+0001F3C6><U+26BD><U+26BD><U+0001F499>…";2019-06-12 23:21:05
"136";136;"0.328000545501709";"E o que as torcidas organizadas estão esperando para fazer protesto no aeroporto de Confins 

Cruzeiro";2019-06-12 23:20:07
"137";137;"0.702771902084351";"Parece que o estouro da bolha começou a trazer consequências ruins para esse tal CruzeiroMG Nada difícil de prev…";2019-06-12 23:19:52
"138";138;"0.578131556510925";"URGENTEMano Menezes aceita proposta chinesa e deixa o";2019-06-12 23:17:48
"139";139;"0.373924881219864";"NasBatalhasComOCruzeiro Cruzeiro Graças a Deus q vai ter essa parada pra Copa América Não to aguentando mais ass…";2019-06-12 23:17:45
"140";140;"0.167568206787109";"Jogo muito lixo CruzeiroLéo no banco e Bruno Fabrício titular";2019-06-12 23:15:41
"141";141;"0.582697927951813";"Com dois gols de André Luis Fortaleza vence o Cruzeiro em casa e se afasta do Z Sassá fez para os visitantes…";2019-06-12 23:14:17
"142";142;"0.465606272220612";"Que OOOOOOOOOOOODDDDDDIIIIIIIIIIIOOOOO que eu estou desse timeainda bem q vai da uma pausa agora CRUZEIRO";2019-06-12 23:14:13
"143";143;"0.0833333358168602";"E Mano Menezes sinto em informar mas se você não cair agora você cai na volta da campeonato se não ganhar TaFoda CRUZEIRO Cabuloso";2019-06-12 23:13:05
"144";144;"0";"A crise no tal CruzeiroMG parece não ter fim o trem tá feio lá";2019-06-12 23:12:31
"145";145;"0.453085362911224";"Agora pode criticar o belo trabalho do Mano ou ainda é cedo Cruzeiro";2019-06-12 23:11:15
"146";146;"0";"ñ vi o jg mas o time ñ tinha voltado a sêlo pior defesa derrotado por adversáriomais umcujo campeonato é…";2019-06-12 23:09:59
"147";147;"0";"É muito triste ver a péssima governança no CEC refletindo em campoA torcida do Cruzeiro realmente não…";2019-06-12 23:09:33
"148";148;"0.228453993797302";"A freguesia doproé tanta
 Que só o Rogério lá já fez eles perderem
Cruzeiro 
FORxCRU 
Fortalez…";2019-06-12 23:08:36
"149";149;"0.285793840885162";"Comentarista da Itatiaia dizendo que o CruzeiroMG tem um elenco muito forteContinuem assim não parem de elogiar Hahahahahaha";2019-06-12 23:08:16
"150";150;"0.561240077018738";"BoaNoite A pausa pode ser até boa para o Cruzeiro mas devemos saber como ela será utilizada Mudanças Tem q com…";2019-06-12 23:07:07
"151";151;"0.0238095242530107";"A pior sequência da era Mano Menezes só aumenta Qual a moral da diretoria para cobrar desses jogadores uma vez qu…";2019-06-12 23:06:04
"152";152;"0.520942628383636";"Cruzeiro com um a mais marcando de longe tomando pressão e sem conseguir trocar cinco passes Zaga tá uma mãe o time é desi…";2019-06-12 23:05:44
"153";153;"0";"VERGONHA ESSE NÃO É O Cruzeiro";2019-06-12 23:05:24
"154";154;"0.322855949401855";"Diretoria tem que colocar o time para treinar vai dar folga para esses fdp para voltar da mesma forma Cruzeiro…";2019-06-12 23:05:14
"155";155;"0.565072536468506";"Pode anotar

Fortaleza TricolorDeAço Ceara FORxCRU Cruzeiro Futebol NossoFutebol TorDesorganizada";2019-06-12 23:04:35
"156";156;"0.247411519289017";"Que fase viu A paixão continua amas eu tô com uma vontade de mandar todo mundo tnc viu Cruzeiro…";2019-06-12 23:03:41
"157";157;"0.45435306429863";"Cruzeiro com um a mais marcando de longe tomando pressão e sem conseguir trocar cinco passes Zaga tá uma mãe o ti…";2019-06-12 23:02:46
"158";158;"0.582407593727112";"NasBatalhasComOCruzeiro FORxCRU Cruzeiro Essa foto representa o atual momento";2019-06-12 23:02:36
"159";159;"0.216751635074615";"Cruzeiro jogando muito aquém do esperado Uma crise que assola o time e claramente afetando em campo também isso é…";2019-06-12 23:01:58
"160";160;"0.361680537462234";"A freguesia doproé tanta
 Que só o Rogério lá já fez eles perderem
Cruzeiro 
FORxCRU 
FortalezaEC 
RogérioCeni";2019-06-12 23:01:56
"161";161;"0.405263394117355";"Éq essa parada da copa ámerica seja de mudanças e para melhor não sou conselheiro mas já pode mudar ess…";2019-06-12 23:01:43
"162";162;"0.109239339828491";"Qual será a desculpa do treinador Mano Menezes para mais uma derrota do time comandado por ele

cruzeiro";2019-06-12 23:01:28
"163";163;"0.352835923433304";"CRUZEIRO FORAITAIR JA CHEGAAAA SOMEEEE DOSeu mercenário ganhando mil e sujando o nome do MAIOR DE MINAS";2019-06-12 23:00:05
"164";164;"0.550176858901978";"Futebol do Robinho hoje foi digno de um cachaceiro Errou tudo que tentou hoje Aliás o futebol do time todo foi deprimente Cruzeiro";2019-06-12 22:59:55
"165";165;"0.737470805644989";"No final do DiadosNamorados existe presente melhor x pro FortalezaEC sobre o Cruzeiro semprevouteamar Posso…";2019-06-12 22:59:48
"166";166;"0.177211165428162";"Não dá para suportar o mano Menezes a frente do cruzeiro com essa diretoria itair machado Serginh…";2019-06-12 22:59:24
"167";167;"0.341639697551727";"Não tem explicação pra campanha do Cruzeiro no Brasileirão Pelo investimento feito o elenco montado tem obrigação…";2019-06-12 22:59:24
"168";168;"0.132584750652313";"Melancolia pura assistir aos últimos jogos do Cruzeiro Nem com um a mais e contra um time limitadíssimo conseguim…";2019-06-12 22:59:20
"169";169;"0.0678089559078217";"“Mais uma partida ruim Demoramos demais a acordar nos jogos Quando acordamos já levamos um dois gols O Campeona…";2019-06-12 22:59:16
"170";170;"0.341443300247192";"Ê Cruzeiro mas nem se o Fux ajudar wetrustinfux cruzeiro";2019-06-12 22:58:44
"171";171;"0.223781198263168";"Nem emeu vi um futebol tão medíocre como este em 

Vergonha demais CRUZEIRO";2019-06-12 22:57:54
"172";172;"0.0238095242530107";"Desgraça de time Vai tomar no cu Jogadores diretoria e todo mundo que acha que tá bom Time sem vergonha Lixo…";2019-06-12 22:57:39
"173";173;"0.287692070007324";"Acabou o jogo de FortalezaxCruzeiro pelo Brasileirão QuartaDetremuraSDV";2019-06-12 22:57:27
"174";174;"0.505909144878387";"Rogerio Ceni fazendo o comum pra cima do

tafeio cruzeiro paradefalarejoga 
FORxCRU";2019-06-12 22:57:15
"175";175;"0.503558218479156";"TTermina a partida válida pelarodada do

FORTALEZAXCRUZEIRO

FORxCRU…";2019-06-12 22:57:05
