text;created;language;id
A CBF divulgou a tabela detalhada com as datas das duas primeiras rodadas do brasileirãoafeminino ascabulosas estreia…;15/03/2019 14:43;pt;145
Imaginem só como foi esse papo kkkk mais um que vai dar o que falar Sábado h notem…;15/03/2019 14:25;pt;146
Cruzeiro cobra segurança a Conmebol em relação a seu jogo na Venezuela gt;15/03/2019 14:15;pt;147
"Pensa num trem LINDO 
 Cruzeiro OManto";15/03/2019 14:12;pt;148
Thiago Neves Patrick Brey e Ariel Cabral também não participaram do jogo treino Os três atletas que estão fazendo traba…;15/03/2019 13:29;pt;149
"Olha aí o Rodriguinho nos braços da torcida do
Cruzeiro

Foto";15/03/2019 13:29;pt;150
"confirma lateralesquerdo Dodô e apresentação do atleta será hoje à tarde na Toca da Raposa 
cruzeiro 

Via…";15/03/2019 13:29;pt;151
"Boom diaaa Sexxxtouuu <U+0001F31E><U+0001F98A>

Ahhh ser Cruzeiro é bom demais<U+0001F499>





NasBatalhasComOCruzeiro…";15/03/2019 13:28;pt;152
"Copa LibertadoresFecha 

G
Inter 
River 
Palestino 
AlianzaLima

G
Cruzeiro PJ 
Emelec …";15/03/2019 13:27;pt;153
Técnico Mano Menezes garante força máxima para o jogo contra osábado O time de deve ser Fábio E…;15/03/2019 13:25;pt;154
Técnico Mano Menezes garante força máxima para o jogo contra oO time de deve ser Fábio Edílson…;15/03/2019 13:19;pt;155
Fique por dentro das notícias e informações do Cruzeirão Cabuloso Baixe agora mesmo o aplicativo Informa Cruzeiro…;15/03/2019 13:17;pt;156
"Todas as alternativas <U+2714> 

Cruzeiro 
Fábio 
MelhorGoleiroDoBrasil";15/03/2019 13:00;pt;157
Mano Menezes no BemAmigos já cortou deo Bob FariaPoxa tanta coisa para você me perguntarvocê me pergunta s…;15/03/2019 12:58;pt;158
<U+26BD><U+FE0F> Cruzeiro Técnico Mano Menezes confirma o time principal para o jogo contra o Tupi amanhã em Juiz de Fora Você…;15/03/2019 12:40;pt;159
"Restauração Camisa Cruzeiro 

estampafc 
cruzeirocabuloso 
cruzeiro 
camisasdefutebol";15/03/2019 12:20;pt;160
"NAÇÃO AZUL Já baixou o aplicativoCruzeiro 

Nós já abrimos a conta faça a sua também <U+0001F98A> 

Apple…";15/03/2019 12:14;pt;161
"Bom dia nação azul <U+0001F499><U+0001F601><U+0001F43A>
Cruzeiro 
RaposaSegueRaposa 
NasBatalhasComOCruzeiro";15/03/2019 11:08;pt;162
A CBF divulgou a tabela detalhada com as datas das duas primeiras rodadas do brasileirãoafeminino ascabulosas e…;15/03/2019 11:02;pt;163
Lomba não é nem o melhor goleiro do Inter é o Danilo que foi atrapalhado pelas lesões mas concordo em não citar o Fábio…;15/03/2019 10:50;pt;164
"Nação Azul
Abra a sua conta e ajude nosso Cruzeiro a ser cada vez mais forte 
já abri a minha conta faça a sua ta…";15/03/2019 09:50;pt;165
"É hoje

Juntos iniciamos a batalha por mais uma Libertadores

Vamos Cruzeiro <U+0001F44A><U+0001F3FC><U+0001F4AA><U+0001F3FC> 

DigimaisCruzeiro AContaDoCru…";15/03/2019 04:11;pt;166
"Estreia com vitória <U+0001F64C> A raposa deu pé quente

Ótimo resultado para iniciar a busca do Tri <U+0001F3C6>

DigimaisCruzeiro ACo…";15/03/2019 04:11;pt;167
Cartão da Raposa Esse é o nome do cartão que está esperando por você Basta abrir a sua conta que logo logo tem um ca…;15/03/2019 04:10;pt;168
Ontem foi lindo de ver a estreia do Cruzeiro na Libertadores com o novo manto celeste <U+0001F499> Tudo indica que chegamos para…;15/03/2019 04:10;pt;169
"Cruzeiro se reúne com empresários e oferece Sassá e Digão ao Fluminense por Everaldo

Extra";15/03/2019 02:56;pt;170
Só aprendemos e evoluímos tentando Jornalismo TVHorizonte HorizonteEsporte BeloHorizonte MG Esporte Futebol…;15/03/2019 02:20;pt;171
Cruzeiro entra em campo contra o Tombense pelo campeonato mineiro;15/03/2019 01:54;pt;172
Cruzeiro vence o Tombense e busca a liderança do campeonato mineiro;15/03/2019 01:54;pt;173
